id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
160,2009,Mumbai,League,KA Pollard,Mumbai Indians,Delhi Capitals,Mumbai Indians,39,184,N
161,2009,Chennai,League,R Ashwin,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,9,140,N
162,2009,Jaipur,League,KP Pietersen,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,5,131,N
163,2009,Chennai,League,G Gambhir,Chennai Super Kings,Delhi Capitals,Delhi Capitals,6,113,N
164,2009,Dharamsala,League,RG Sharma,Punjab Kings,Deccan Chargers,Deccan Chargers,5,175,N
165,2009,Bangalore,League,R McLaren,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,57,192,N
166,2009,Kolkata,League,JD Unadkat,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,8,133,N
167,2009,Dharamsala,League,MS Dhoni,Punjab Kings,Chennai Super Kings,Chennai Super Kings,6,193,N
168,2009,Delhi,League,A Symonds,Delhi Capitals,Deccan Chargers,Deccan Chargers,11,146,N
169,2009,Kolkata,League,M Kartik,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,9,134,N
170,2009,Mumbai,Semi Final,KA Pollard,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,35,185,N
171,2009,Mumbai,Semi Final,DE Bollinger,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,38,143,N
172,2009,Mumbai,3rd Place Play-Off,A Kumble,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,9,83,N
173,2009,Mumbai,Final,SK Raina,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,22,169,N
174,2011,Chennai,League,S Anirudha,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2,154,N
175,2011,Hyderabad,League,SK Trivedi,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,8,138,N
176,2011,Kochi,League,AB de Villiers,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,6,162,N
177,2011,Delhi,League,SL Malinga,Delhi Capitals,Mumbai Indians,Mumbai Indians,8,96,N
178,2011,Mumbai,League,SB Wagh,Pune Warriors,Punjab Kings,Pune Warriors,7,113,N
179,2011,Kolkata,League,JH Kallis,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,9,164,N
180,2011,Jaipur,League,SK Warne,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,6,152,N
181,2011,Bangalore,League,SR Tendulkar,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,9,141,N
182,2011,Chandigarh,League,PC Valthaty,Punjab Kings,Chennai Super Kings,Punjab Kings,6,189,N
183,2011,Mumbai,League,MD Mishra,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,4,149,N
184,2011,Hyderabad,League,DW Steyn,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,33,176,N
185,2011,Jaipur,League,G Gambhir,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,9,160,N
186,2011,Mumbai,League,BB McCullum,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,8,183,N
187,2011,Chennai,League,MEK Hussey,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,21,184,N
188,2011,Hyderabad,League,PC Valthaty,Deccan Chargers,Punjab Kings,Punjab Kings,8,166,N
189,2011,Mumbai,League,Yuvraj Singh,Pune Warriors,Delhi Capitals,Delhi Capitals,3,188,N
190,2011,Kolkata,League,L Balaji,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,8,82,N
191,2011,Kochi,League,BB McCullum,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,7,135,N
192,2011,Delhi,League,S Sohal,Delhi Capitals,Deccan Chargers,Deccan Chargers,16,169,N
193,2011,Mumbai,League,MM Patel,Mumbai Indians,Pune Warriors,Mumbai Indians,7,119,N
