id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
541,2016,Chandigarh,League,HM Amla,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7,180,N
542,2016,Visakhapatnam,League,KH Pandya,Mumbai Indians,Delhi Capitals,Mumbai Indians,80,207,N
543,2016,Kolkata,League,V Kohli,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9,184,N
544,2016,Visakhapatnam,League,AB Dinda,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,19,58,N
545,2016,Bangalore,League,V Kohli,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,82,203,N
546,2016,Kanpur,League,DR Smith,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,6,125,N
547,2016,Raipur,League,KK Nair,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,6,159,N
548,2016,Visakhapatnam,League,MS Dhoni,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,4,173,N
549,2016,Kanpur,League,SK Raina,Gujarat Lions,Mumbai Indians,Gujarat Lions,6,173,N
550,2016,Kolkata,League,YK Pathan,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,22,172,N
551,2016,Raipur,League,V Kohli,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,6,139,N
552,2016,Bangalore,Qualifier 1,AB de Villiers,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,4,159,N
553,2016,Delhi,Elimination Final,MC Henriques,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,22,163,N
554,2016,Delhi,Qualifier 2,DA Warner,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,4,163,N
555,2016,Bangalore,Final,BCJ Cutting,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,8,209,N
556,2017,Hyderabad,League,Yuvraj Singh,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,35,208,N
557,2017,Pune,League,SPD Smith,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,7,185,N
558,2017,Rajkot,League,CA Lynn,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,10,184,N
559,2017,Indore,League,GJ Maxwell,Punjab Kings,Rising Pune Supergiant,Punjab Kings,6,164,N
560,2017,Bengaluru,League,KM Jadhav,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,15,158,N
561,2017,Hyderabad,League,Rashid Khan,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,9,136,N
562,2017,Mumbai,League,N Rana,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4,179,N
563,2017,Indore,League,AR Patel,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,8,149,N
564,2017,Pune,League,SV Samson,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,97,206,N
565,2017,Mumbai,League,JJ Bumrah,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,4,159,N
566,2017,Kolkata,League,SP Narine,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,8,171,N
567,2017,Bangalore,League,KA Pollard,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,4,143,N
568,2017,Rajkot,League,AJ Tye,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,7,172,N
569,2017,Kolkata,League,RV Uthappa,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,17,173,N
570,2017,Delhi,League,CJ Anderson,Delhi Capitals,Punjab Kings,Delhi Capitals,51,189,N
571,2017,Mumbai,League,N Rana,Mumbai Indians,Gujarat Lions,Mumbai Indians,6,177,N
572,2017,Bangalore,League,BA Stokes,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,27,162,N
573,2017,Delhi,League,NM Coulter-Nile,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,4,169,N
574,2017,Hyderabad,League,B Kumar,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5,160,N
575,2017,Rajkot,League,CH Gayle,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,21,214,N
576,2017,Hyderabad,League,KS Williamson,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,15,192,N
577,2017,Indore,League,JC Buttler,Punjab Kings,Mumbai Indians,Mumbai Indians,8,199,N
578,2017,Kolkata,League,SK Raina,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,4,188,N
579,2017,Mumbai,League,MJ McClenaghan,Mumbai Indians,Delhi Capitals,Mumbai Indians,14,143,N
580,2017,Pune,League,MS Dhoni,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,6,177,N
581,2017,Rajkot,League,HM Amla,Gujarat Lions,Punjab Kings,Punjab Kings,26,189,N
582,2017,Kolkata,League,NM Coulter-Nile,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,82,132,N
583,2017,Mumbai,League,BA Stokes,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,3,161,N
584,2017,Pune,League,RV Uthappa,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,7,183,N
585,2017,Bangalore,League,AJ Tye,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,7,135,N
586,2017,Kolkata,League,G Gambhir,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,7,161,N
587,2017,Chandigarh,League,Rashid Khan,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,26,208,N
588,2017,Pune,League,LH Ferguson,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,61,158,N
589,2017,Chandigarh,League,Sandeep Sharma,Punjab Kings,Delhi Capitals,Punjab Kings,10,68,N
590,2017,Hyderabad,League,DA Warner,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,48,210,N
591,2017,Mumbai,League,RG Sharma,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,5,163,N
592,2017,Pune,League,BA Stokes,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,5,162,N
593,2017,Delhi,League,Mohammed Shami,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,6,186,N
594,2017,Kolkata,League,RA Tripathi,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,4,156,N
595,2017,Delhi,League,RR Pant,Delhi Capitals,Gujarat Lions,Delhi Capitals,7,209,N
596,2017,Bangalore,League,Sandeep Sharma,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,19,139,N
597,2017,Hyderabad,League,JD Unadkat,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,12,149,N
598,2017,Delhi,League,LMP Simmons,Delhi Capitals,Mumbai Indians,Mumbai Indians,146,213,N
599,2017,Bangalore,League,SP Narine,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,6,159,N
600,2017,Chandigarh,League,DR Smith,Punjab Kings,Gujarat Lions,Gujarat Lions,6,190,N
601,2017,Hyderabad,League,S Dhawan,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7,139,N
602,2017,Chandigarh,League,MM Sharma,Punjab Kings,Kolkata Knight Riders,Punjab Kings,14,168,N
603,2017,Kanpur,League,SS Iyer,Gujarat Lions,Delhi Capitals,Delhi Capitals,2,196,N
604,2017,Mumbai,League,WP Saha,Mumbai Indians,Punjab Kings,Punjab Kings,7,231,N
605,2017,Delhi,League,KK Nair,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,7,169,N
606,2017,Kanpur,League,Mohammed Siraj,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,8,155,N
607,2017,Kolkata,League,AT Rayudu,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,9,174,N
608,2017,Pune,League,JD Unadkat,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,9,74,N
609,2017,Delhi,League,HV Patel,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,10,162,N
610,2017,Mumbai,Qualifier 1,Washington Sundar,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,20,163,N
611,2017,Bangalore,Eliminator,NM Coulter-Nile,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,7,48,N
612,2017,Bangalore,Qualifier 2,KV Sharma,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,6,108,N
613,2017,Hyderabad,Final,KH Pandya,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,1,130,N
614,2018,Mumbai,League,DJ Bravo,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,1,166,N
615,2018,Chandigarh,League,KL Rahul,Delhi Capitals,Punjab Kings,Punjab Kings,6,167,N
616,2018,Kolkata,League,SP Narine,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,4,177,N
617,2018,Hyderabad,League,S Dhawan,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,9,126,N
618,2018,Chennai,League,SW Billings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5,203,N
619,2018,Jaipur,League,SV Samson,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,10,71,N
620,2018,Hyderabad,League,Rashid Khan,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,1,148,N
621,2018,Bengaluru,League,UT Yadav,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,4,156,N
622,2018,Mumbai,League,JJ Roy,Mumbai Indians,Delhi Capitals,Delhi Capitals,7,195,N
623,2018,Kolkata,League,B Stanlake,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,5,139,N
624,2018,Bengaluru,League,SV Samson,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,19,218,N
625,2018,Chandigarh,League,CH Gayle,Punjab Kings,Chennai Super Kings,Punjab Kings,4,198,N
626,2018,Kolkata,League,N Rana,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,71,201,N
627,2018,Mumbai,League,RG Sharma,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,46,214,N
628,2018,Jaipur,League,N Rana,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,7,161,N
629,2018,Chandigarh,League,CH Gayle,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,15,194,N
630,2018,Pune,League,SR Watson,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,64,205,N
631,2018,Kolkata,League,KL Rahul,Kolkata Knight Riders,Punjab Kings,Punjab Kings,9,125,N
632,2018,Bengaluru,League,AB de Villiers,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,6,175,N
633,2018,Hyderabad,League,AT Rayudu,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,4,183,N
634,2018,Jaipur,League,JC Archer,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,3,168,N
635,2018,Delhi,League,AS Rajpoot,Punjab Kings,Delhi Capitals,Punjab Kings,4,144,N
636,2018,Mumbai,League,Rashid Khan,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,31,119,N
637,2018,Bengaluru,League,MS Dhoni,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5,206,N
638,2018,Hyderabad,League,AS Rajpoot,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,13,133,N
639,2018,Delhi,League,SS Iyer,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,55,220,N
640,2018,Pune,League,RG Sharma,Chennai Super Kings,Mumbai Indians,Mumbai Indians,8,170,N
641,2018,Jaipur,League,KS Williamson,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,11,152,N
642,2018,Bengaluru,League,CA Lynn,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,6,176,N
643,2018,Pune,League,SR Watson,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,13,212,N
644,2018,Bengaluru,League,TG Southee,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,14,168,N
645,2018,Delhi,League,RR Pant,Delhi Capitals,Rajasthan Royals,Delhi Capitals,4,151,N
646,2018,Kolkata,League,SP Narine,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,6,178,N
647,2018,Indore,League,SA Yadav,Punjab Kings,Mumbai Indians,Mumbai Indians,6,175,N
648,2018,Pune,League,RA Jadeja,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6,128,N
649,2018,Hyderabad,League,Rashid Khan,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,7,164,N
650,2018,Mumbai,League,HH Pandya,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,13,182,N
651,2018,Indore,League,Mujeeb Ur Rahman,Rajasthan Royals,Punjab Kings,Punjab Kings,6,153,N
652,2018,Hyderabad,League,KS Williamson,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,5,147,N
653,2018,Jaipur,League,JC Buttler,Rajasthan Royals,Punjab Kings,Rajasthan Royals,15,159,N
654,2018,Kolkata,League,Ishan Kishan,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,102,211,N
655,2018,Delhi,League,S Dhawan,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,9,188,N
656,2018,Jaipur,League,JC Buttler,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,4,177,N
657,2018,Indore,League,SP Narine,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,31,246,N
658,2018,Delhi,League,AB de Villiers,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,5,182,N
659,2018,Pune,League,AT Rayudu,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,8,180,N
660,2018,Mumbai,League,JC Buttler,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,7,169,N
661,2018,Indore,League,UT Yadav,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,10,89,N
662,2018,Kolkata,League,Kuldeep Yadav,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,6,143,N
663,2018,Mumbai,League,JJ Bumrah,Mumbai Indians,Punjab Kings,Mumbai Indians,3,187,N
664,2018,Bengaluru,League,AB de Villiers,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,14,219,N
665,2018,Delhi,League,HV Patel,Delhi Capitals,Chennai Super Kings,Delhi Capitals,34,163,N
666,2018,Jaipur,League,S Gopal,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,30,165,N
667,2018,Hyderabad,League,CA Lynn,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,5,173,N
668,2018,Delhi,League,A Mishra,Delhi Capitals,Mumbai Indians,Delhi Capitals,11,175,N
669,2018,Pune,League,L Ngidi,Punjab Kings,Chennai Super Kings,Chennai Super Kings,5,154,N
670,2018,Mumbai,Qualifier 1,F du Plessis,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,2,140,N
671,2018,Kolkata,Eliminator,AD Russell,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,25,170,N
672,2018,Kolkata,Qualifier 2,Rashid Khan,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,14,175,N
673,2018,Mumbai,Final,SR Watson,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,8,179,N
674,2019,Chennai,League,Harbhajan Singh,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,7,71,N
675,2019,Kolkata,League,AD Russell,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,6,182,N
676,2019,Mumbai,League,RR Pant,Delhi Capitals,Mumbai Indians,Delhi Capitals,37,214,N
677,2019,Jaipur,League,CH Gayle,Punjab Kings,Rajasthan Royals,Punjab Kings,14,185,N
678,2019,Delhi,League,SR Watson,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,6,148,N
679,2019,Kolkata,League,AD Russell,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,28,219,N
680,2019,Bengaluru,League,JJ Bumrah,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,6,188,N
681,2019,Hyderabad,League,Rashid Khan,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,199,N
682,2019,Chandigarh,League,MA Agarwal,Mumbai Indians,Punjab Kings,Punjab Kings,8,177,N
683,2019,Hyderabad,League,JM Bairstow,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,118,232,N
684,2019,Chennai,League,MS Dhoni,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,8,176,N
685,2019,Chandigarh,League,SM Curran,Punjab Kings,Delhi Capitals,Punjab Kings,14,167,N
686,2019,Jaipur,League,S Gopal,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7,159,N
687,2019,Mumbai,League,HH Pandya,Mumbai Indians,Chennai Super Kings,Mumbai Indians,37,171,N
688,2019,Delhi,League,JM Bairstow,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,130,N
689,2019,Bengaluru,League,AD Russell,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,5,206,N
690,2019,Chennai,League,Harbhajan Singh,Chennai Super Kings,Punjab Kings,Chennai Super Kings,22,161,N
691,2019,Hyderabad,League,AS Joseph,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,40,137,N
692,2019,Bengaluru,League,K Rabada,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,4,150,N
693,2019,Jaipur,League,HF Gurney,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,8,140,N
694,2019,Chandigarh,League,KL Rahul,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,6,151,N
695,2019,Chennai,League,DL Chahar,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,7,109,N
696,2019,Mumbai,League,KA Pollard,Punjab Kings,Mumbai Indians,Mumbai Indians,3,198,N
697,2019,Jaipur,League,MS Dhoni,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4,152,N
698,2019,Kolkata,League,S Dhawan,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,7,179,N
699,2019,Mumbai,League,JC Buttler,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,4,188,N
700,2019,Chandigarh,League,AB de Villiers,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,8,174,N
701,2019,Kolkata,League,Imran Tahir,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5,162,N
702,2019,Hyderabad,League,KMA Paul,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,39,156,N
703,2019,Mumbai,League,SL Malinga,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,5,172,N
704,2019,Chandigarh,League,R Ashwin,Punjab Kings,Rajasthan Royals,Punjab Kings,12,183,N
705,2019,Hyderabad,League,DA Warner,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6,133,N
706,2019,Delhi,League,HH Pandya,Mumbai Indians,Delhi Capitals,Mumbai Indians,40,169,N
707,2019,Kolkata,League,V Kohli,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,10,214,N
708,2019,Jaipur,League,SPD Smith,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,5,162,N
709,2019,Delhi,League,SS Iyer,Punjab Kings,Delhi Capitals,Delhi Capitals,5,164,N
710,2019,Hyderabad,League,KK Ahmed,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,9,160,N
711,2019,Bengaluru,League,PA Patel,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,1,162,N
712,2019,Jaipur,League,RR Pant,Rajasthan Royals,Delhi Capitals,Delhi Capitals,6,192,N
713,2019,Chennai,League,SR Watson,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,6,176,N
714,2019,Bengaluru,League,AB de Villiers,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,17,203,N
715,2019,Kolkata,League,VR Aaron,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,3,176,N
716,2019,Chennai,League,RG Sharma,Mumbai Indians,Chennai Super Kings,Mumbai Indians,46,156,N
717,2019,Jaipur,League,JD Unadkat,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,7,161,N
718,2019,Delhi,League,S Dhawan,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,16,188,N
719,2019,Kolkata,League,AD Russell,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,34,233,N
720,2019,Hyderabad,League,DA Warner,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,45,213,N
721,2019,Chennai,League,MS Dhoni,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,80,180,N
722,2019,Chandigarh,League,Shubman Gill,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,7,184,N
723,2019,Delhi,League,A Mishra,Rajasthan Royals,Delhi Capitals,Delhi Capitals,5,116,N
724,2019,Bengaluru,League,SO Hetmyer,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,4,176,N
725,2019,Chandigarh,League,KL Rahul,Chennai Super Kings,Punjab Kings,Punjab Kings,6,171,N
726,2019,Mumbai,League,HH Pandya,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,9,134,N
727,2019,Chennai,Qualifier 1,SA Yadav,Chennai Super Kings,Mumbai Indians,Mumbai Indians,6,132,N
728,2019,Visakhapatnam,Eliminator,RR Pant,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,2,163,N
729,2019,Visakhapatnam,Qualifier 2,F du Plessis,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,6,148,N
730,2019,Hyderabad,Final,JJ Bumrah,Mumbai Indians,Chennai Super Kings,Mumbai Indians,1,150,N
731,2020,Abu Dhabi,League,AT Rayudu,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,5,163,N
732,2020,Abu Dhabi,League,RG Sharma,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,49,196,N
733,2020,Abu Dhabi,League,Shubman Gill,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,7,143,N
734,2020,Abu Dhabi,League,Rashid Khan,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,15,163,N
735,2020,Abu Dhabi,League,KA Pollard,Mumbai Indians,Punjab Kings,Mumbai Indians,48,192,N
736,2020,Abu Dhabi,League,YS Chahal,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,8,155,N
737,2020,Abu Dhabi,League,SA Yadav,Mumbai Indians,Rajasthan Royals,Mumbai Indians,57,194,N
738,2020,Abu Dhabi,League,RA Tripathi,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,10,168,N
739,2020,Abu Dhabi,League,KD Karthik,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,2,165,N
740,2020,Abu Dhabi,League,Q de Kock,Delhi Capitals,Mumbai Indians,Mumbai Indians,5,163,N
741,2020,Abu Dhabi,League,Q de Kock,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,8,149,N
742,2020,Abu Dhabi,League,JC Buttler,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,7,126,N
743,2020,Abu Dhabi,League,Mohammed Siraj,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,8,85,N
744,2020,Abu Dhabi,League,CV Varun,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,59,195,N
745,2020,Abu Dhabi,League,BA Stokes,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,8,196,N
746,2020,Abu Dhabi,League,SA Yadav,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,5,165,N
747,2020,Abu Dhabi,League,BA Stokes,Punjab Kings,Rajasthan Royals,Rajasthan Royals,7,186,N
748,2020,Abu Dhabi,League,RD Gaikwad,Punjab Kings,Chennai Super Kings,Chennai Super Kings,9,154,N
749,2020,Abu Dhabi,League,A Nortje,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,6,153,N
750,2020,Abu Dhabi,Eliminator,KS Williamson,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,6,132,N
751,2020,Abu Dhabi,Qualifier 2,MP Stoinis,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,17,190,N
752,2021,Chennai,League,HV Patel,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2,160,N
753,2021,Mumbai,League,S Dhawan,Chennai Super Kings,Delhi Capitals,Delhi Capitals,7,189,N
754,2021,Chennai,League,N Rana,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,10,188,N
755,2021,Mumbai,League,SV Samson,Punjab Kings,Rajasthan Royals,Punjab Kings,4,222,N
756,2021,Chennai,League,RD Chahar,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,10,153,N
757,2021,Chennai,League,GJ Maxwell,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,6,150,N
758,2021,Mumbai,League,JD Unadkat,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,3,148,N
759,2021,Mumbai,League,DL Chahar,Punjab Kings,Chennai Super Kings,Chennai Super Kings,6,107,N
760,2021,Chennai,League,KA Pollard,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,13,151,N
761,2021,Chennai,League,AB de Villiers,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,38,205,N
762,2021,Mumbai,League,S Dhawan,Punjab Kings,Delhi Capitals,Delhi Capitals,6,196,N
763,2021,Mumbai,League,MM Ali,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,45,189,N
764,2021,Chennai,League,A Mishra,Mumbai Indians,Delhi Capitals,Delhi Capitals,6,138,N
765,2021,Chennai,League,JM Bairstow,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,9,121,N
766,2021,Mumbai,League,F du Plessis,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,18,221,N
767,2021,Mumbai,League,D Padikkal,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,10,178,N
768,2021,Chennai,League,KL Rahul,Mumbai Indians,Punjab Kings,Punjab Kings,9,132,N
769,2021,Mumbai,League,CH Morris,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,6,134,N
770,2021,Mumbai,League,RA Jadeja,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,69,192,N
771,2021,Ahmedabad,League,EJG Morgan,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,5,124,N
772,2021,Ahmedabad,League,AB de Villiers,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,1,172,N
773,2021,Delhi,League,RD Gaikwad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,7,172,N
774,2021,Delhi,League,Q de Kock,Rajasthan Royals,Mumbai Indians,Mumbai Indians,7,172,N
775,2021,Ahmedabad,League,PP Shaw,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,7,155,N
776,2021,Ahmedabad,League,Harpreet Brar,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,34,180,N
777,2021,Delhi,League,KA Pollard,Chennai Super Kings,Mumbai Indians,Mumbai Indians,4,219,N
778,2021,Delhi,League,JC Buttler,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,55,221,N
